Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
229,0,2026-04-28 07:50:14,49377.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0229.mp4,Saved
230,0,2026-04-28 07:50:38,49401.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0230.mp4,Saved
231,0,2026-04-28 07:51:37,49460.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0231.mp4,Saved
232,0,2026-04-28 08:01:04,50027.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0232.mp4,Saved
233,0,2026-04-28 08:01:59,50082.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0233.mp4,Saved
234,0,2026-04-28 08:06:35,50358.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0234.mp4,Saved
235,0,2026-04-28 08:07:33,50416.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0235.mp4,Saved
236,0,2026-04-28 08:09:56,50559.5,14.0,1.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0236.mp4,Saved
237,0,2026-04-28 08:10:09,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
238,0,2026-04-28 08:10:12,50575.5,18.0,4.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0238.mp4,Saved
